gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G01010	NAC001	33	118	25	68	65	73
AT1G01020	ARV1	125	351	73	384	160	151
AT1G01030	NGA3	19	69	3	17	27	33
AT1G01040	DCL1	351	1519	411	1818	705	708
AT1G01046	MIR838A	6	5	3	11	6	10
AT1G01050	PPA1	441	1862	728	2843	816	843
AT1G01060	LHY	20	95.999	126	523	46	42
AT1G01070	AT1G01070	70	297	13	64	110	145
AT1G01073	AT1G01073	0	0	0	0	0	0
AT1G01080	AT1G01080	813	3396	274	1155	1268	1249
AT1G01090	PDH-E1 ALPHA	1018	4641	1980	8450	2166	2288
AT1G01100	RPP1A	1674.425	4692	3918	17828.325	2594	3108.547
AT1G01110	IQD18	25	71	7	27	52	50
AT1G01115	AT1G01115	0	0	0	0	0	0
AT1G01120	KCS1	444	2589	14	41	625	636
AT1G01130	AT1G01130	7	20	2	5	13	9
AT1G01140	CIPK9	646	2417	910	4163.999	813	861
AT1G01150	AT1G01150	0	0	0	0	1	2
AT1G01160	GIF2	187.989	633.987	447	1999.992	271.997	288
AT1G01170	AT1G01170	946.012	2036.013	489	2598.008	733.002	765
AT1G01180	AT1G01180	109	433	22	87	117	100
AT1G01183	MIR165A	0	0	0	0	0	0
AT1G01190	CYP78A8	25	283	41	149	65	73
AT1G01200	RABA3	17	32	0	1	18	13
AT1G01210	AT1G01210	127	259.734	250	1108.965	101	111
AT1G01220	FKGP	266	1166	76	371	507	526
AT1G01225	AT1G01225	16	62	10	47	35	27
AT1G01230	AT1G01230	216	768	48	238	292	315
AT1G01240	AT1G01240	416	1135.999	224	978	456	451
AT1G01250	ERF023	6	44	0	10	8	14
AT1G01260	BHLH13	118	365	35	156	189	218
AT1G01270	AT1G01270	0	0	0	0	0	0
AT1G01280	CYP703A2	1	0	1	23	0	0
AT1G01290	CNX3	134	305	44	173	168	164
AT1G01300	AT1G01300	340	1561	268	1262	762	791
AT1G01305	AT1G01305	0	0	0	0	0	0
AT1G01310	AT1G01310	0	1	6	8	0	0
AT1G01320	AT1G01320	1869	12590	2218	8895	5414	5788
AT1G01340	CNGC10	19	124	68	287	57	48
AT1G01350	AT1G01350	211.386	530.301	332.714	1493.288	279.607	281.328
AT1G01355	AT1G01355	1	3	2	4	1	2
AT1G01360	PYL9	167	316	90	435	136	145
AT1G01370	HTR12	31	70	7	14	63	67
AT1G01380	ETC1	2	15	2	9	9	12
AT1G01390	UGT72B2	29	234	5	31	82	72
AT1G01400	AT1G01400	0	0	0	1	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	44	201	2	21	47	47
AT1G01430	TBL25	387	1870	110	415	705	716
AT1G01440	AT1G01440	120	489	43	204	225	278
AT1G01448	AT1G01448	69.826	373.03	106.907	382.66	179.975	156.725
AT1G01450	AT1G01450	7.174	36.97	23.094	83.34	11.026	17.275
AT1G01453	AT1G01453	0	0	0	0	0	0
AT1G01460	PIP5K10	0	0	0	0	0	0
AT1G01470	LEA14	718	2936	437	1842	837	840
AT1G01471	AT1G01471	0	0	0	1	0	0
AT1G01480	ACS2	1	3	2	2	4	7
AT1G01490	AT1G01490	445	1379	246	1163	529	615
AT1G01500	AT1G01500	176	687	62	334	281	303
AT1G01510	AN	244	838	476	2006	486	517
AT1G01520	RVE3	1	4	5	19	2	2
AT1G01530	AGL28	0	2	0	0	1	0
AT1G01540	AT1G01540	473	2408	282	1275	918	971
AT1G01550	BPS1	1040	3854	357	1280	1632	1609
AT1G01560	MPK11	28	125	2	15	44	59
AT1G01570	AT1G01570	7	20	5	14	16	14
AT1G01580	FRO2	5	27	3	27	18	14
AT1G01590	FRO1	4	10	1	6	5	2
AT1G01600	CYP86A4	9	16	74	310	52	87
AT1G01610	GPAT4	289	1383	798	3484	520	549
AT1G01620	PIP1-3	1320	4535	1999	8608	2778	2842
AT1G01630	AT1G01630	480	1615	230	916	464	549
AT1G01640	AT1G01640	20	83	9	47	35	39
AT1G01650	SPPL4	162	626	186	787	308	335
AT1G01660	PUB55	16	34	1	13	16	21
AT1G01670	PUB56	29	92	0	16	25	45
AT1G01680	PUB54	5	23	2	5	12	10
AT1G01690	ATPRD3	44	92	4	11	87	102
AT1G01695	AT1G01695	3	7	0	2	7	5
AT1G01700	ROPGEF2	9	39	0	14	17	17
AT1G01710	AT1G01710	255	1018	151	672	427	445
AT1G01720	NAC002	78	248	108	420	159	179
AT1G01725	AT1G01725	44	146	39	195	50	43
AT1G01730	AT1G01730	116	431	97	470	171	220
AT1G01740	AT1G01740	58	185	11	49	105	131
AT1G01750	ADF10	2	11	3	3	10	6
AT1G01760	AT1G01760	15	76	5	16	40	39
AT1G01770	AT1G01770	186	848	109	429	348	396
AT1G01780	PLIM2B	58	326	36	129	126	123
AT1G01790	KEA1	948	5744	374	1353	2870	2834
AT1G01800	AT1G01800	538	1770	694	3213	779	726
AT1G01810	AT1G01810	2	4	3	16	1	6
AT1G01820	PEX11C	375	1591	318	1312	602	677
AT1G01830	AT1G01830	152	682	197	913	243	264
AT1G01840	AT1G01840	18.073	49.837	4	26.611	22.61	16.232
AT1G01860	PFC1	126.927	540.163	46	269.389	226.39	242.768
AT1G01870	AT1G01870	0	0	0	0	0	0
AT1G01880	GEN1	13	29	14	46	27	21
AT1G01890	AT1G01890	0	0	0	0	0	0
AT1G01900	SBTI1.1	36	182	141	609	117	124
AT1G01910	AT1G01910	354	1435	321	1367	708	660
AT1G01920	AT1G01920	106	301	130	604	201	185
AT1G01930	AT1G01930	90	407	187	842	181	206
AT1G01940	CYP18-1	62	206	4141	18132	119	168
AT1G01950	ARK2	120	443	110	468	263	315
AT1G01960	BIG3	564	2793	1123	4800	1392	1424
AT1G01970	AT1G01970	356	1232	358	1528	489	537
AT1G01980	AT1G01980	1	0	0	6	1	0
AT1G01990	AT1G01990	131	603	683	2941	226	248
AT1G02000	GAE2	59	272	67	234	109	104
AT1G02010	SEC1A	78	285	12	58	127	111
AT1G02020	AT1G02020	94	563	221	895	225	220
AT1G02030	ZAT1	0	2	1	3	1	0
AT1G02040	AT1G02040	0	0	0	0	0	0
AT1G02050	PKSA	33	129	57	255	52	66
AT1G02060	AT1G02060	36	115	69	299	79	78
AT1G02065	SPL8	5	1	179	789	32	34
AT1G02070	AT1G02070	4	0	1	9	2	7
AT1G02074	AT1G02074	0	0	0	0	0	0
AT1G02080	AT1G02080	589	3346	918	3817	1675	1601
AT1G02090	CSN7	269	759	1167	4986	355.999	405
AT1G02100	AT1G02100	226	806	536	2288.001	312	345
AT1G02110	AT1G02110	107	490	412	1767	320	296
AT1G02120	VAD1	481	2180	421	1747	796	828
AT1G02130	RABD2A	276	941	282	1163	393	440
AT1G02136	AT1G02136	0	0	0	0	0	0
AT1G02140	MEE63	762	2475	2792	11675	1147	1106
AT1G02145	ALG12	164	605	52	287	290	267
AT1G02150	AT1G02150	870	4274	1126	4899	1870	1910
AT1G02160	AT1G02160	219	572	138	568	205	234
AT1G02170	AMC1	162	819	129	551	304	352
AT1G02180	AT1G02180	56	144	45	193	76	68
AT1G02190	AT1G02190	1	7	18	79	7	8
AT1G02205	CER1	232	282	266	1094	582	651
AT1G02210	AT1G02210	0	0	0	0	0	0
AT1G02220	NAC003	41	182	30	115	73	75
AT1G02228	AT1G02228	0	0	0	0	0	0
AT1G02230	NAC004	5	19	23	105	4	6
AT1G02250	NAC005	1	0	0	11	1	0
AT1G02260	AT1G02260	145	645	28	61	239	228
AT1G02270	AT1G02270	293	1131	244	1243	403	413
AT1G02280	TOC33	995	2326	1646	6953	1326	1351
AT1G02290	AT1G02290	76	243	376	1651	135	140
AT1G02300	AT1G02300	508	1393.995	97	413	435	436.002
AT1G02305	AT1G02305	690	2891.005	885	3820	1139	1134.998
AT1G02310	MAN1	0	6	0	0	1	2
AT1G02320	AT1G02320	0	0	0	0	0	0
AT1G02330	AT1G02330	122	459	119	588	259	268
AT1G02335	GL22	18	129	20	109	39	39
AT1G02340	HFR1	8	15	9	63	6	12
AT1G02350	AT1G02350	10	43	4	25	13	12
AT1G02360	AT1G02360	29	73	2	17	23	28
AT1G02370	AT1G02370	40	105	31	110	90	78
AT1G02380	AT1G02380	27	78	9	35	21	36
AT1G02390	GPAT2	11	40	9	47	7	12
AT1G02391	AT1G02391	0	0	0	0	0	0
AT1G02400	GA2OX6	20	27	5	12	30	14
AT1G02405	AT1G02405	1	20	1	20	1	2
AT1G02410	COX11	205	622	164	661	248	296
AT1G02420	AT1G02420	28	96	16	57	45	60
AT1G02430	ATARFD1B	4	24	4	23	11	11
AT1G02440	ATARFD1A	2	3	1	1	0	2
AT1G02450	NIMIN-1	23	44	13	34	14	14
AT1G02460	AT1G02460	10	67	6	25	41	28
AT1G02470	AT1G02470	10	28	3	26	13	12
AT1G02475	AT1G02475	574	2288	282	1187	709	718
AT1G02480	AT1G02480	0	0	0	0	0	0
AT1G02490	AT1G02490	0	0	0	0	0	1
AT1G02500	SAM1	1268	5926	3023	13678	2802	3166
AT1G02510	TPK4	0	0	10	25	0	0
AT1G02520	ABCB11	0	12	8	38	7	7
AT1G02530	ABCB12	0	4	5	20	4	8
AT1G02540	AT1G02540	0	0	0	0	0	0
AT1G02550	AT1G02550	0	0	0	0	0	0
AT1G02560	CLPP5	2763	11689	2902	12340	4494	4814
AT1G02570	AT1G02570	0	0	0	1	0	0
AT1G02575	AT1G02575	0	0	0	0	0	0
AT1G02580	MEA	0	1	0	1	0	1
AT1G02590	AT1G02590	0	0	0	0	0	0
AT1G02600	AT1G02600	0	0	0	0	0	0
AT1G02610	AT1G02610	119	167	0	2	127	140
AT1G02620	AT1G02620	2	6	1	0	6	4
AT1G02630	ETN8	7	4	7	6	11	8
AT1G02640	BXL2	71	222	242	1177	311	319
AT1G02650	AT1G02650	9	35	3	9	22	14
AT1G02660	AT1G02660	140	476	33	131	266	266
AT1G02670	AT1G02670	9	30	1	8	18	18
AT1G02680	TAF13	96	287	86	361	133	137
AT1G02681	AT1G02681	0	0	1	8	0	0
AT1G02690	IMPA6	73	128	109	385	255	241
AT1G02700	AT1G02700	2	44	165	747	9	13
AT1G02710	AT1G02710	9	78	5	33	52	24
AT1G02720	GATL5	59	269	58	310	162	168
AT1G02730	CSLD5	186	487	14	57	888	1002
AT1G02740	MRG2	91	243	50	176	86	122
AT1G02750	DI19-2	186	272	85	285	130	137
AT1G02770	AT1G02770	7	18	5	30	1	5
AT1G02780	RPL19A	4937	11806	9160	40138	7145	8107
AT1G02790	PGA3	0	0	2	2	2	2
AT1G02800	CEL2	12	6	5	24	49	62
AT1G02810	PME7	9	4	4	0	7	3
AT1G02813	AT1G02813	0	0	0	5	0	0
AT1G02816	AT1G02816	72	226	117	508	85	98
AT1G02820	AT1G02820	55	286	3	4	97	105
AT1G02830	RPL22A	0	0	0	1	0	0
AT1G02840	SR34	619	1954	1521	6643.001	1014	1092
AT1G02850	BGLU11	34	155	18	66	108	103
AT1G02860	BAH1	95	250	102	526	115	129
AT1G02870	AT1G02870	139	315	257	1082	217	261
AT1G02880	TPK1	118.904	354	76.998	272.531	138.575	151.001
AT1G02890	AT1G02890	453	2189	1322	5446	994	1055
AT1G02900	RALF1	8	12	8	19	5	5
AT1G02910	LPA1	468	2030	572	2422	756	801
AT1G02920	GSTF7	502.82	2085.12	819.07	3643.559	472.45	535.621
AT1G02930	GSTF6	839.18	3134.88	468.93	2042.441	883.55	964.379
AT1G02940	GSTF5	3	2	5	17	4	4
AT1G02950	GSTF4	41	133.745	36	120	67	61
AT1G02952	AT1G02952	0	1.255	0	0	0	0
AT1G02960	AT1G02960	277	589	42	181	238	278
AT1G02965	AT1G02965	0	0	0	1	0	0
AT1G02970	WEE1	35	71	82	345	66	70
AT1G02980	CUL2	0	1	135	603	0	2
AT1G02990	AT1G02990	112	614	122	533	294	274
AT1G03000	PEX6	169	885	197	694	399	386
AT1G03010	AT1G03010	9	24	5	10	18	14
AT1G03020	GRXS1	18	31	3	19	15	7
AT1G03022	AT1G03022	0	0	0	0	0	0
AT1G03030	AT1G03030	108	413	58	260	182	183
AT1G03040	BHLH7	197	788	457	2044	367	391
AT1G03050	AT1G03050	0	1	0	0	2	0
AT1G03055	D27	35	115	6	18	39	48
AT1G03060	SPI	338	1790	249	1050	962	893
AT1G03070	AT1G03070	2	8	2158	8740	8	9
AT1G03080	NET1D	388	1961	298	1288	862	967
AT1G03090	MCCA	204	965.105	78	303	505.503	527.825
AT1G03100	AT1G03100	26	109.895	6	20	45.497	46.175
AT1G03103	AT1G03103	0	0	0	0	0	0
AT1G03106	AT1G03106	0	0	0	0	0	0
AT1G03110	TRM82	122	252	10	67	199	208
AT1G03120	ATRAB28	1	3	2	15	5	1
AT1G03130	PSAD2	13683	56716	5590	23986	19096	19522
AT1G03140	AT1G03140	383	1219	1578	6594	622	646
AT1G03150	AT1G03150	136	418	108	559	172	194
AT1G03160	FZL	547	2771	313	1122	1074	1134
AT1G03170	FAF2	2	4	1	9	2	4
AT1G03180	AT1G03180	13	61	112	569	38	46
AT1G03190	UVH6	62	280	118	574	135	123
AT1G03200	AT1G03200	10	53.027	7	31	16	27
AT1G03210	AT1G03210	133	391	47	227	150	149
AT1G03220	AT1G03220	266	1030.642	328.985	1272.491	650	659.665
AT1G03230	AT1G03230	122	505.358	262.015	1211.509	322	325.335
AT1G03240	AT1G03240	0	0.973	0	0	1	0
AT1G03250	AT1G03250	200	754	55	217	276	315
AT1G03260	AT1G03260	73	250	63	305	112	109
AT1G03270	CBSDUF4	25	103	10	45	57	61
AT1G03280	AT1G03280	242	977	289.694	1111	433	463
AT1G03290	AT1G03290	248	831	80	381	280	342
AT1G03300	ATDUF1	29	99	1	26	76	64
AT1G03310	ISA2	771	3746	295	1212	1334	1396
AT1G03320	AT1G03320	3	12	3	12	3	7
AT1G03330	LSM2	310	563	354	1553	249	319
AT1G03340	AT1G03340	27	132	6	17	37	21
AT1G03350	AT1G03350	234	1013	62	245	385	435
AT1G03360	ATRRP4	105	227	718	2979	172	189
AT1G03365	RF4	123	509	166	684	240	277
AT1G03370	AT1G03370	218	1052	88	287	468	436
AT1G03380	ATG18G	318	1468	315	1171	637	592
AT1G03390	AT1G03390	0	1	0	2	2	1
AT1G03400	AT1G03400	168	870	58	213	273	298
AT1G03410	2A6	50.853	265.119	37.218	148.06	67.975	85.094
AT1G03420	Sadhu4-2	185.147	779.881	21.782	104.94	353.025	349.906
AT1G03430	AHP5	203	590	41	186	195	210
AT1G03440	AT1G03440	72	348	177	733	127	145
AT1G03445	BSU1	1	1	3	10	2	2
AT1G03457	BRN2	23	63	51	196	55	45
AT1G03470	NET3A	43	65	127	457	82	77
AT1G03475	CPX1	1401	7136	2164	9310	2913	2896
AT1G03490	NAC006	0	0	0	0	0	0
AT1G03495	3AT2	48.008	199.018	81.461	334.82	95.845	87.39
AT1G03502	AT1G03502	0	1	4	7	2	2
AT1G03506	AT1G03506	0	0	0	0	0	0
AT1G03510	PCMP-E3	13	58	5	22	24	24
AT1G03515	AT1G03515	0	0	0	0	0	0
AT1G03520	AT1G03520	90	338	9	47	159	170
AT1G03530	ATNAF1	67	292	356	1537	191	204
AT1G03540	PCMP-E4	9	46	3	26	22	25
AT1G03545	AT1G03545	3.053	29.411	0	13.052	19.431	16.021
AT1G03550	SCAMP2	51.947	223.589	13	46.948	81.569	78.979
AT1G03560	AT1G03560	60	225	36	122	125	134
AT1G03570	AT1G03570	0	0	0	0	0	0
AT1G03580	AT1G03580	4	11	0	2	15	7
AT1G03590	PPC6-6	120	402	102	403	248	260
AT1G03600	PSB27-1	3428	15850	4142	17982	4997	5144
AT1G03610	AT1G03610	240	825	130	593	493	435
AT1G03620	AT1G03620	6	22	2	14	14	14
AT1G03630	PORC	2188	9210	3926	16191	3532	3831
AT1G03650	AT1G03650	43	97	16	96	46	45
AT1G03660	AT1G03660	5	1	0	1	4	8
AT1G03670	AT1G03670	0	0	0	0	0	2
AT1G03680	ATHM1	2466	12053	1483	6609	3919	3975
AT1G03687	AT1G03687	104	375	72	307	160	182
AT1G03700	AT1G03700	0	0	0	0	0	0
AT1G03710	AT1G03710	7	6	1	9	5	8
AT1G03720	AT1G03720	0	0	0	0	0	0
AT1G03730	AT1G03730	86	366	8	39	106	130
AT1G03740	AT1G03740	333	1565	144	601	676	614
AT1G03743	AT1G03743	0	0	0	0	0	0
AT1G03746	AT1G03746	0	0	0	0	0	0
AT1G03750	SWI2	51	174	12	49	85	90
AT1G03760	AT1G03760	48	183	280	1288	100	106
AT1G03770	RING1B	40	81	36	142	58	49
AT1G03780	TPX2	61	93	7	8	222	232
AT1G03790	SOM	0	0	0	0	0	0
AT1G03800	ERF10	0	6	2	16	1	2
AT1G03810	AT1G03810	0	0	0	0	0	0
AT1G03820	AT1G03820	105	140	10	29	80	105
AT1G03830	AT1G03830	64	267	82	361	168	207
AT1G03840	MGP	1	7	0	0	3	10
AT1G03850	GRXS13	42	185	5	6	62	52
AT1G03860	PHB2	470	1626	5688	25186	851	983
AT1G03870	FLA9	300	1223	171	668	648	695
AT1G03880	CRB	0	0	0	0	0	0
AT1G03890	CRD	0	0	0	0	0	0
AT1G03900	ATNAP4	593	2188	774	3469	870	907
AT1G03905	ABCI19	14	36	6	39	24	30
AT1G03910	CTN	261	1228	742	3130	684	661
AT1G03920	AT1G03920	16	34	3	16	15	15
AT1G03930	ADK1	411	1924	226	897	700	709
AT1G03935	AT1G03935	0	0	1	0	0	0
AT1G03940	3AT1	16.992	100.982	68.539	245.18	49.155	57.61
AT1G03950	VPS2.3	145	448	29	127	145	204
AT1G03960	B''EPSILON	104	395	84	372	188	168
AT1G03970	GBF4	168.219	836.574	345.784	1504.843	296.254	332.004
AT1G03980	PCS2	5.781	8.426	1.216	8.157	7.746	3.996
AT1G03982	RIC8	0	0	0	0	0	0
AT1G03990	FAO1	22	94	6	45	32	33
AT1G04000	AT1G04000	72	285	14	67	117	122
AT1G04010	PSAT	66	244	139	565	106	141
AT1G04020	BARD1	98	290	7	7	209	208
AT1G04030	AT1G04030	46.13	136.079	5.217	52.078	78.437	70.105
AT1G04040	AT1G04040	1031.87	4775.921	862.783	3674.922	1700.563	1797.895
AT1G04050	SUVR1	31	68	9	27	46	33
AT1G04070	TOM9-1	37	96	15	70	46	44
AT1G04080	PRP39	672	2557	1179.999	5397	1184	1355
AT1G04090	AT1G04090	6	14	4	10	11	6
AT1G04100	IAA10	39	103	9	53	37	51
AT1G04110	SBT1.2	31	62	2	10	36	39
AT1G04120	ABCC5	279	1354	705	3244	748	833
AT1G04130	TPR2	65	203	118	535	128	99
AT1G04140	AT1G04140	482	2525	860	3465	1144	1136
AT1G04150	AT1G04150	0	0	2	9	2	2
AT1G04160	XI-B	66	251	28	143	135	148
AT1G04170	EIF2 GAMMA	622	2123	940	4274	1330	1372
AT1G04171	AT1G04171	0	1	0	0	0	0
AT1G04180	YUC9	0	9	2	3	2	1
AT1G04190	TPR3	248	673	175	787	362	345
AT1G04200	AT1G04200	174	750	25	98	321	338
AT1G04210	AT1G04210	307	1332	599	2329	782	795
AT1G04220	KCS17	19	68	14	79	37	43
AT1G04230	AT1G04230	79	304	52	230	127	155
AT1G04240	IAA3	245	749	70	262	275	301
AT1G04250	IAA17	159	498	304	1174	212	227
AT1G04260	PRA1D	58	293	104	425	120	110
AT1G04270	RPS15A	2434	5620	4132	17803	3431	3573
AT1G04280	AT1G04280	125	416	16	71	185	192
AT1G04290	AT1G04290	274.4	529.528	50.033	169	173.285	209.6
AT1G04295	AT1G04295	1.6	3.472	1.967	0	1.715	2.4
AT1G04300	AT1G04300	391	1909	820	3505.999	901	894
AT1G04310	ERS2	13	39	38	154	58	53
AT1G04320	AT1G04320	0	0	0	0	0	0
AT1G04330	AT1G04330	1	8	0	0	1	3
AT1G04340	AT1G04340	137	359	36	160	163	173
AT1G04350	AT1G04350	333	1617	199	908	503	584
AT1G04360	ATL1	8	47	1	0	18	21
AT1G04370	ERF14	0	0	0	0	0	0
AT1G04380	AT1G04380	0	3	0	0	2	2
AT1G04390	AT1G04390	69	233	112	432	138	109
AT1G04400	CRY2	1368	5700	1966	7993	2644	2786
AT1G04410	MDH1	5927	24813	6160	25976	10629	11124
AT1G04420	AT1G04420	1187	5236	1963	8414	1912	2044
AT1G04425	AT1G04425	34	19	2	7	50	59
AT1G04430	AT1G04430	757	3333	654	2601	1578	1614
AT1G04440	CKL13	431	1872	257	1148	686	705
AT1G04445	AT1G04445	0	1	0	0	0	0
AT1G04450	RIC3	0	0	0	0	0	0
AT1G04457	AT1G04457	0	0	0	0	0	0
AT1G04470	AT1G04470	1	0	0	1	0	0
AT1G04480	RPL23C	1406	2622	4348	18291	1563	1684
AT1G04490	AT1G04490	4	11	0	1	9	8
AT1G04500	AT1G04500	1	11	1	1	5	4
AT1G04501	AT1G04501	0	0	0	0	0	0
AT1G04510	PRP19A	352	1192	395	1675	722	717
AT1G04520	CRRSP3	140	340	36	161	226	231
AT1G04530	TPR4	539	2186	171	844	739	903
AT1G04540	AT1G04540	26	115	6	20	54	48
AT1G04550	IAA12	113	496	190	824	183	215
AT1G04555	AT1G04555	39	148	52	194	62	74
AT1G04560	AT1G04560	0	0	0	0	0	0
AT1G04570	AT1G04570	11	50	77	277	19	35
AT1G04580	AAO4	1	3	2	9	4	4
AT1G04590	AT1G04590	163	464	298	1194	255	276
AT1G04600	XI-A	14	72	12	37	25	28
AT1G04610	YUC3	0	0	0	2	0	0
AT1G04620	HCAR	225	944	291	1215	352	396
AT1G04625	AT1G04625	0	5	1	3	1	1
AT1G04630	MEE4	223	875	652	2927	400	440
AT1G04635	EMB1687	30	51	26	108	22	40
AT1G04640	LIP2	571	1379	185	713	491	585
AT1G04645	AT1G04645	0	0	0	0	0	0
AT1G04650	AT1G04650	25	123	16	55	90	92
AT1G04660	AT1G04660	1	2	6	24	5	8
AT1G04670	AT1G04670	0	0	0	0	0	0
AT1G04680	AT1G04680	507	1995	888	3910	1028	1111
AT1G04684	AT1G04684	0	0	0	0	0	0
AT1G04690	KAB1	1009	3129	281	1162	1373	1470
AT1G04700	AT1G04700	7	34	18	65	26	28
AT1G04710	KAT1	155	658	161	633	338	313
AT1G04720	AT1G04720	0	0	0	0	0	0
AT1G04730	CTF18	68	253	30	117	124	118
AT1G04750	VAMP721	631	1973	1434	5932	880	940
AT1G04760	VAMP726	13	26	0	1	30	31
AT1G04770	AT1G04770	280	1559	169	891	621	714
AT1G04778	AT1G04778	4	2	2	5	0	0
AT1G04780	AT1G04780	314	1449	892	3327	697	620
AT1G04790	AT1G04790	134	674	144	650	291	325
AT1G04800	AT1G04800	270	1676	196	1004	587	625
AT1G04810	RPN2B	273	1419	3029	12409	723	721
AT1G04820	TUBA4	2537.877	7681.09	2770.755	10068.774	5328.572	5589.005
AT1G04830	AT1G04830	117	438	106	414	156	167
AT1G04840	PCMP-H64	10	38	1	10	18	18
AT1G04850	AT1G04850	531	2140	1271	5229	947	1058
AT1G04860	UBP2	300	1028	594	2300	487	547
AT1G04870	PRMT10	192	484	317	1379	336	394
AT1G04880	HMGB15	4	5	4	21	3	3
AT1G04890	AT1G04890	0	0	0	2	0	0
AT1G04900	AT1G04900	67	258	132	544	175	169
AT1G04910	AT1G04910	227	842	150	588	384	376
AT1G04920	SPS3	15	56	15	43	31	37
AT1G04930	AT1G04930	18	83	35	165	39	55
AT1G04940	TIC20-I	586	2450.292	1286.991	5545.711	1028.295	1161.924
AT1G04945	AT1G04945	42	197.709	41.009	202.289	96.705	101.076
AT1G04950	TAF6	191	665.999	233	1071	343	307.001
AT1G04960	AT1G04960	237	710	374	1471	286	280
AT1G04970	AT1G04970	207	926	691	2821	383	406
AT1G04980	PDIL2-2	77	224	1179	5123	128	168
AT1G04985	AT1G04985	199	823	635	2962	290	287
AT1G04990	AT1G04990	286	1219	25	137	432	401
AT1G05000	AT1G05000	12	101	33	116	31	34
AT1G05010	ACO4	1485	4694	1194	5241	1618	1692
AT1G05020	AP180	11	52	0	4	10	18
AT1G05030	AT1G05030	130	524	110	431	163	173
AT1G05040	AT1G05040	0	0	0	0	2	0
AT1G05055	ATGTF2H2	124	311	152	650	183	148
AT1G05060	AT1G05060	142	460	73	304	166	176
AT1G05061	AT1G05061	1	7	4	3	5	7
AT1G05065	CLE20	9	32	0	1	7	9
AT1G05070	AT1G05070	204	733	203	770	244	282
AT1G05080	AT1G05080	0	0	0	0	0	0
AT1G05085	AT1G05085	0	0	0	0	0	0
AT1G05090	AT1G05090	57.274	280.363	55.849	214.898	109.276	153.098
AT1G05100	MAPKKK18	2	11	1	5	6	1
AT1G05120	AT1G05120	139	578	122	546	248	260
AT1G05135	AT1G05135	158	1330	363	2181	278	386
AT1G05136	AT1G05136	1	0	0	0	0	0
AT1G05140	ARASP2	394	1930	492	2075	701	672
AT1G05150	AT1G05150	231	864	287	1233	434	518
AT1G05160	KAO1	75	274	57	233	164	127
AT1G05170	B3GALT2	148	391	222	962	145	138
AT1G05180	AXR1	291	972	214	920	443	431
AT1G05190	RPL6	5044	16249	6413	27291	5997	6892
AT1G05200	GLR3.4	535	2534	340	1449	884	909
AT1G05205	AT1G05205	130	286	113	531	150	178
AT1G05210	AT1G05210	39	100	148	701	66	54
AT1G05220	AT1G05220	1.154	6.805	2.109	5.923	1.204	1
AT1G05230	HDG2	190.846	520.196	77.891	373.078	281.796	277
AT1G05240	PER1	0	0	1	0	1	1
AT1G05250	PER1	0	2	0	4	0	0
AT1G05260	PER3	1	0	2	15	3	1
AT1G05270	AT1G05270	217	965	262	1074	368	390
AT1G05280	AT1G05280	0	0	0	0	0	0
AT1G05290	AT1G05290	0	0	0	0	0	0
AT1G05291	AT1G05291	0	0	0	0	0	0
AT1G05300	ZIP5	70	421	111	485	159	158
AT1G05310	PME8	24	135	3	17	31	38
AT1G05320	AT1G05320	298	1099	48	259	445.999	434
AT1G05330	AT1G05330	0	0	0	2	3	0
AT1G05340	AT1G05340	4	16	15	65	12	12
AT1G05350	AT1G05350	187	765	163	668	346	383
AT1G05360	KMS2	144	352	50	183	196	189
AT1G05370	AT1G05370	13	36	0	0	21	17
AT1G05380	AT1G05380	218	1111	296	1201	518	548
AT1G05385	PSB27-2	369	885	574	2341	412	415
AT1G05390	AT1G05390	0	0	0	0	0	0
AT1G05400	AT1G05400	2	17	6	13	8	8
AT1G05410	AT1G05410	137	468	215	923	244	248
AT1G05420	OFP12	5	20	0	1	10	15
AT1G05430	AT1G05430	252	892	234	930	348	388
AT1G05440	AT1G05440	13	10	1	2	41	33
AT1G05450	AT1G05450	0	0	0	0	0	0
AT1G05460	SDE3	101	434	106	444	191	207
AT1G05470	CVP2	53	240	20	87	142	162
AT1G05490	CLSY3	7	15	4	10	15	13
AT1G05500	SYT5	339	1464	411	1899	640	725
AT1G05510	AT1G05510	0	0	0	0	0	0
AT1G05520	AT1G05520	194	813	106	418	482	462
AT1G05530	UGT75B2	2	1	0	0	1	1
AT1G05540	AT1G05540	27	157	5	25	54	39
AT1G05550	AT1G05550	1	7	0	2	6	6
AT1G05560	UGT75B1	100.608	678.074	96.895	438.018	301.296	275.797
AT1G05562	AT1G05562	117.392	355.926	42.105	110.982	116.704	147.203
AT1G05570	CALS1	301	1766	249	1061	651	644
AT1G05575	AT1G05575	46	119	4	14	53	53
AT1G05577	AT1G05577	1	3	0	0	2	0
AT1G05580	CHX23	0	0	0	1	0	0
AT1G05590	HEXO2	76	447	39	189	203	220
AT1G05600	AT1G05600	84	239	180	792	116	126
AT1G05610	APS2	6	13	0	3	7	4
AT1G05615	AT1G05615	0	0	0	0	0	0
AT1G05620	URH2	102	300	57	258	160	153
AT1G05630	5PTASE13	152	610	55	174	276	255
