gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G73730	EIL3	104	460	42	204	206	225
AT1G73740	AT1G73740	121	449	421	1699	167	192
AT1G73750	AT1G73750	400	1982	283	1197	619	627
AT1G73760	AT1G73760	196	964	47	169	417	464
AT1G73770	AT1G73770	39	98	23	52	46	52
AT1G73780	AT1G73780	0	0	0	0	0	0
AT1G73790	GIP2	48	133	7	65	44	72
AT1G73805	SARD1	75	381	2	11	101	121
AT1G73810	AT1G73810	9	55	5	14	35	31
AT1G73820	AT1G73820	151	325	62	267	146	167
AT1G73830	BEE3	24	84	88	370	55	63
AT1G73840	ESP1	184	733	487	1991	335	339
AT1G73850	AT1G73850	15	97	58	229	69	73
AT1G73860	AT1G73860	2	14	2	12	8	4
AT1G73870	COL7	162	939	1386	6236	390	437
AT1G73875	CCR4-5	113	277	60	243	147	125
AT1G73880	UGT89B1	29	102	142	675	48	59
AT1G73885	AT1G73885	1696	5228	1611	7499	1647	1913
AT1G73890	AT1G73890	9	20	7	35	9	8
AT1G73910	ARP4A	1	7	5	39	2	1
AT1G73920	AT1G73920	521	2372	1117	4670	1037	1042
AT1G73930	AT1G73930	156	584	114	460	315	286
AT1G73940	AT1G73940	267	513	295	1461	290	260
AT1G73950	AT1G73950	63	397	204	799	159	186
AT1G73960	TAF2	275	1107	137	575	486	499
AT1G73965	CLE13	4	4	2	3	2	3
AT1G73970	AT1G73970	121	386	81	350	177	183
AT1G73980	AT1G73980	310	1228	154	665	562	545
AT1G73990	SPPA	454	2082	490	2091	728	855
AT1G74000	SSL11	3	12	6	25	7	12
AT1G74010	AT1G74010	4	37	8	23	17	16
AT1G74020	SSL12	43	253	76	338	105	74
AT1G74030	ENO1	135	363	31	165	300	335
AT1G74040	IPMS2	319.002	1709	314	1410	753	712
AT1G74045	TET17	0	0	0	0	0	0
AT1G74050	RPL6C	1898	4623.206	5151.001	22811.228	2496.554	2589.562
AT1G74055	AT1G74055	2	11	3	6	15	17
AT1G74060	RPL6B	1266	3614.794	3472.999	15580.772	1996.446	2039.438
AT1G74070	CYP26-2	374	2292	1222	5602	685	722
AT1G74080	MYB122	0	2	0	0	0	4
AT1G74088	AT1G74088	26	78	5	41	26	37
AT1G74090	SOT18	623	2985	196	850	1196	1273
AT1G74100	SOT16	577	1992	148	645	929	953
AT1G74110	CYP78A10	0	0	1	0	0	0
AT1G74120	AT1G74120	29	135	7	50	63	103
AT1G74130	AT1G74130	0	0	2	1	0	0
AT1G74140	AT1G74140	1	1	0	0	1	0
AT1G74150	AT1G74150	15	14	2	8	22	19
AT1G74160	AT1G74160	174	792	187	816	429	427
AT1G74170	AtRLP13	103	485	69	285	209	193
AT1G74180	AtRLP14	45	186	5	27	73	82
AT1G74190	AtRLP15	0	1	0	1	0	0
AT1G74200	AtRLP16	16	85	1	0	20	24
AT1G74205	AT1G74205	1	20	3	0	5	5
AT1G74210	GDPD5	135	752	56	215	246	250
AT1G74220	AT1G74220	1	0	0	1	0	0
